INSERT INTO
bookhasauthor(isbn, authorId)
(1000002607,'26'),
(1000002608,'16'),
(1000002608,'17'),
(1000002608,'3'),
(1000002609,'4'),
(1000002609,'5'),
(1000002609,'18'),
(1000002610,'6'),
(1000002610,'7'),
(1000002611,'19'),
(1000002611,'20'),
(1000002612,'27'),
(1000002613,'8'),
(1000002614,'9'),
(1000002615,'21'),
(1000002616,'22'),
(1000002616,'30'),
(1000002617,'10'),
(1000002617,'28'),
(1000002618,'23'),
(1000002619,'11'),
(1000002619,'12'),
(1000002620,'29'),
(1000002620,'13'),
(1000002621,'14'),
(1000002622,'15'),
(1000002622,'24'),
(1000002622,'25'),
(1000002623,'1'),
(1000002623,'2'),
(1000002624,'26'),
(1000002625,'16'),
(1000002625,'17'),
(1000002626,'3'),
(1000002626,'4'),
(1000002627,'5'),
(1000002628,'18'),
(1000002629,'6'),
(1000002629,'7'),
(1000002629,'19'),
(1000002630,'20'),
(1000002631,'27'),
(1000002631,'8'),
(1000002631,'9'),
(1000002632,'21'),
(1000002632,'22'),
(1000002632,'30'),
(1000002633,'10'),
(1000002634,'28'),
(1000002635,'23'),
(1000002636,'11'),
(1000002637,'12'),
(1000002638,'29'),
(1000002638,'13'),
(1000002638,'14'),
(1000002639,'15'),
(1000002639,'24'),
(1000002640,'25'),
(1000002640,'1'),
(1000002640,'2'),
(1000002641,'26'),
(1000002641,'16'),
(1000002641,'17'),
(1000002642,'3'),
(1000002642,'4'),
(1000002643,'5'),
(1000002643,'18'),
(1000002644,'6'),
(1000002644,'7'),
(1000002644,'19'),
(1000002645,'20'),
(1000002645,'27'),
(1000002646,'8'),
(1000002646,'9'),
(1000002646,'21'),
(1000002647,'22'),
(1000002647,'30'),
(1000002648,'10'),
(1000002649,'28'),
(1000002649,'23'),
(1000002649,'11'),
(1000002650,'12'),
(1000002651,'29'),
(1000002652,'13'),
(1000002653,'14'),
(1000002653,'15'),
(1000002653,'24'),
(1000002654,'25'),
(1000002654,'1'),
(1000002654,'2'),
(1000002655,'26'),
(1000002656,'16'),
(1000002656,'17'),
(1000002657,'3'),
(1000002658,'4'),
(1000002658,'5'),
(1000002659,'18'),
(1000002659,'6'),
(1000002659,'7'),
(1000002660,'19'),
(1000002660,'20'),
(1000002660,'27'),
(1000002661,'8'),
(1000002661,'9'),
(1000002661,'21'),
(1000002662,'22'),
(1000002662,'30'),
(1000002662,'10'),
(1000002663,'28'),
(1000002663,'23'),
(1000002664,'11'),
(1000002664,'12'),
(1000002665,'29'),
(1000002665,'13'),
(1000002665,'14'),
(1000002666,'15'),
(1000002666,'24'),
(1000002666,'25'),
(1000002667,'1'),
(1000002668,'2'),
(1000002668,'26'),
(1000002668,'16'),
(1000002669,'17'),
(1000002669,'3'),
(1000002669,'4'),
(1000002670,'5'),
(1000002671,'18'),
(1000002672,'6'),
(1000002672,'7'),
(1000002672,'19'),
(1000002673,'20'),
(1000002674,'27'),
(1000002674,'8'),
(1000002675,'9'),
(1000002675,'21'),
(1000002675,'22'),
(1000002676,'30'),
(1000002676,'10'),
(1000002677,'28'),
(1000002677,'23'),
(1000002678,'11'),
(1000002679,'12'),
(1000002679,'29'),
(1000002679,'13'),
(1000002680,'14'),
(1000002681,'15'),
(1000002681,'24'),
(1000002681,'25'),
(1000002682,'1'),
(1000002682,'2'),
(1000002682,'26'),
(1000002683,'16'),
(1000002684,'17'),
(1000002684,'3'),
(1000002685,'4'),
(1000002685,'5'),
(1000002686,'18'),
(1000002687,'6'),
(1000002687,'7'),
(1000002688,'19'),
(1000002688,'20'),
(1000002688,'27'),
(1000002689,'8'),
(1000002690,'9'),
(1000002690,'21'),
(1000002691,'22'),
(1000002691,'30'),
(1000002692,'10'),
(1000002692,'28'),
(1000002692,'23'),
(1000002693,'11'),
(1000002693,'12'),
(1000002694,'29'),
(1000002694,'13'),
(1000002694,'14'),
(1000002695,'15'),
(1000002696,'24'),
(1000002697,'25'),
(1000002697,'1'),
(1000002698,'2'),
(1000002699,'26'),
(1000002699,'16'),
(1000002699,'17'),
(1000002700,'3'),
(1000002701,'4'),
(1000002701,'5'),
(1000002702,'18'),
(1000002702,'6'),
(1000002702,'7'),
(1000002703,'19'),
(1000002703,'20'),
(1000002703,'27'),
(1000002704,'8'),
(1000002705,'9'),
(1000002705,'21'),
(1000002705,'22'),
(1000002706,'30'),
(1000002706,'10'),
(1000002707,'28'),
(1000002707,'23'),
(1000002708,'11'),
(1000002709,'12'),
(1000002709,'29'),
(1000002710,'13'),
(1000002710,'14'),
(1000002711,'15'),
(1000002711,'24'),
(1000002712,'25'),
(1000002712,'1'),
(1000002712,'2'),
(1000002713,'26'),
(1000002713,'16'),
(1000002714,'17'),
(1000002714,'3'),
(1000002714,'4'),
(1000002715,'5'),
(1000002715,'18'),
(1000002715,'6'),
(1000002716,'7'),
(1000002716,'19'),
(1000002717,'20'),
(1000002717,'27'),
(1000002717,'8'),
(1000002718,'9'),
(1000002718,'21'),
(1000002718,'22'),
(1000002719,'30'),
(1000002719,'10'),
(1000002720,'28'),
(1000002721,'23'),
(1000002721,'11'),
(1000002722,'12'),
(1000002722,'29'),
(1000002722,'13'),
(1000002723,'14'),
(1000002724,'15'),
(1000002724,'24'),
(1000002724,'25'),
(1000002725,'1'),
(1000002726,'2'),
(1000002726,'26'),
(1000002727,'16'),
(1000002728,'17'),
(1000002729,'3'),
(1000002730,'4'),
(1000002730,'5'),
(1000002731,'18'),
(1000002731,'6'),
(1000002732,'7'),
(1000002732,'19'),
(1000002733,'20'),
(1000002733,'27'),
(1000002733,'8'),
(1000002734,'9'),
(1000002735,'21'),
(1000002735,'22'),
(1000002736,'30'),
(1000002736,'10'),
(1000002736,'28'),
(1000002737,'23'),
(1000002738,'11'),
(1000002739,'12'),
(1000002739,'29'),
(1000002740,'13'),
(1000002740,'14'),
(1000002740,'15'),
(1000002741,'24'),
(1000002741,'25'),
(1000002742,'1'),
(1000002742,'2'),
(1000002742,'26'),
(1000002743,'16'),
(1000002743,'17'),
(1000002744,'3'),
(1000002745,'4'),
(1000002745,'5'),
(1000002746,'18'),
(1000002746,'6'),
(1000002746,'7'),
(1000002747,'19'),
(1000002748,'20'),
(1000002749,'27'),
(1000002749,'8'),
(1000002749,'9'),
(1000002750,'21'),
(1000002751,'22'),
(1000002752,'30'),
(1000002753,'10'),
(1000002753,'28'),
(1000002753,'23'),
(1000002754,'11'),
(1000002754,'12'),
(1000002755,'29'),
(1000002755,'13'),
(1000002756,'14'),
(1000002757,'15'),
(1000002757,'24'),
(1000002757,'25'),
(1000002758,'1'),
(1000002758,'2'),
(1000002759,'26'),
(1000002759,'16'),
(1000002760,'17'),
(1000002760,'3'),
(1000002760,'4'),
(1000002761,'5'),
(1000002761,'18'),
(1000002762,'6'),
(1000002762,'7'),
(1000002763,'19'),
(1000002763,'20'),
(1000002764,'27'),
(1000002765,'8'),
(1000002765,'9'),
(1000002765,'21'),
(1000002766,'22'),
(1000002766,'30'),
(1000002766,'10'),
(1000002767,'28'),
(1000002767,'23'),
(1000002768,'11'),
(1000002768,'12'),
(1000002768,'29'),
(1000002769,'13'),
(1000002769,'14'),
(1000002769,'15'),
(1000002770,'24'),
(1000002770,'25'),
(1000002770,'1'),
(1000002771,'2'),
(1000002772,'26'),
(1000002773,'16'),
(1000002773,'17'),
(1000002773,'3'),
(1000002774,'4'),
(1000002774,'5'),
(1000002775,'18'),
(1000002776,'6'),
(1000002777,'7'),
(1000002777,'19'),
(1000002777,'20'),
(1000002778,'27'),
(1000002778,'8'),
(1000002779,'9'),
(1000002779,'21'),
(1000002780,'22'),
(1000002781,'30'),
(1000002781,'10'),
(1000002782,'28'),
(1000002782,'23'),
(1000002782,'11'),
(1000002783,'12'),
(1000002784,'29'),
(1000002784,'13'),
(1000002785,'14'),
(1000002785,'15'),
(1000002785,'24'),
(1000002786,'25'),
(1000002786,'1'),
(1000002787,'2'),
(1000002787,'26'),
(1000002787,'16'),
(1000002788,'17'),
(1000002789,'3'),
(1000002789,'4'),
(1000002790,'5'),
(1000002790,'18'),
(1000002791,'6'),
(1000002791,'7'),
(1000002791,'19'),
(1000002792,'20'),
(1000002792,'27'),
(1000002792,'8'),
(1000002793,'9'),
(1000002793,'21'),
(1000002793,'22'),
(1000002794,'30'),
(1000002794,'10'),
(1000002795,'28'),
(1000002795,'23'),
(1000002795,'11'),
(1000002796,'12'),
(1000002797,'29'),
(1000002798,'13'),
(1000002798,'14'),
(1000002798,'15'),
(1000002799,'24'),
(1000002799,'25'),
(1000002799,'1'),
(1000002800,'2'),
(1000002801,'26'),
(1000002802,'16'),
(1000002802,'17'),
(1000002803,'3'),
(1000002804,'4'),
(1000002805,'5'),
(1000002805,'18'),
(1000002805,'6'),
(1000002806,'7'),
(1000002807,'19'),
(1000002808,'20'),
(1000002808,'27'),
(1000002808,'8'),
(1000002809,'9'),
(1000002810,'21'),
(1000002810,'22'),
(1000002810,'30'),
(1000002811,'10'),
(1000002811,'28'),
(1000002811,'23'),
(1000002812,'11'),
(1000002812,'12'),
(1000002813,'29'),
(1000002814,'13'),
(1000002815,'14'),
(1000002816,'15'),
(1000002816,'24'),
(1000002816,'25'),
(1000002817,'1'),
(1000002817,'2'),
(1000002817,'26'),
(1000002818,'16'),
(1000002818,'17'),
(1000002819,'3'),
(1000002819,'4'),
(1000002820,'5'),
(1000002820,'18'),
(1000002820,'6'),
(1000002821,'7'),
(1000002822,'19'),
(1000002822,'20'),
(1000002823,'27'),
(1000002823,'8'),
(1000002823,'9'),
(1000002824,'21'),
(1000002824,'22'),
(1000002824,'30'),
(1000002825,'10'),
(1000002826,'28'),
(1000002827,'23'),
(1000002827,'11'),
(1000002827,'12'),
(1000002828,'29'),
(1000002829,'13'),
(1000002829,'14'),
(1000002830,'15'),
(1000002830,'24'),
(1000002831,'25'),
(1000002831,'1'),
(1000002831,'2'),
(1000002832,'26'),
(1000002832,'16'),
(1000002832,'17'),
(1000002833,'3'),
(1000002833,'4'),
(1000002834,'5'),
(1000002834,'18'),
(1000002834,'6'),
(1000002835,'7'),
(1000002835,'19'),
(1000002836,'20'),
(1000002836,'27'),
(1000002836,'8'),
(1000002837,'9'),
(1000002838,'21'),
(1000002838,'22'),
(1000002838,'30'),
(1000002839,'10'),
(1000002839,'28'),
(1000002839,'23'),
(1000002840,'11'),
(1000002840,'12'),
(1000002841,'29'),
(1000002841,'13'),
(1000002841,'14'),
(1000002842,'15'),
(1000002842,'24'),
(1000002843,'25'),
(1000002843,'1'),
(1000002843,'2'),
(1000002844,'26'),
(1000002844,'16'),
(1000002844,'17'),
(1000002845,'3'),
(1000002845,'4'),
(1000002846,'5'),
(1000002846,'18'),
(1000002847,'6'),
(1000002848,'7'),
(1000002848,'19'),
(1000002848,'20'),
(1000002849,'27'),
(1000002850,'8'),
(1000002851,'9'),
(1000002852,'21'),
(1000002853,'22'),
(1000002853,'30'),
(1000002853,'10'),
(1000002854,'28'),
(1000002854,'23'),
(1000002855,'11'),
(1000002856,'12'),
(1000002856,'29'),
(1000002857,'13'),
(1000002858,'14'),
(1000002858,'15'),
(1000002859,'24'),
(1000002859,'25'),
(1000002859,'1'),
(1000002860,'2'),
(1000002860,'26'),
(1000002860,'16'),
(1000002861,'17'),
(1000002861,'3'),
(1000002861,'4'),
(1000002862,'5'),
(1000002862,'18'),
(1000002863,'6'),
(1000002863,'7'),
(1000002864,'19'),
(1000002864,'20'),
(1000002865,'27'),
(1000002865,'8'),
(1000002865,'9'),
(1000002866,'21'),
(1000002867,'22'),
(1000002867,'30'),
(1000002868,'10'),
(1000002869,'28'),
(1000002869,'23'),
(1000002870,'11'),
(1000002871,'12'),
(1000002871,'29'),
(1000002872,'13'),
(1000002872,'14'),
(1000002873,'15'),
(1000002873,'24'),
(1000002874,'25'),
(1000002875,'1'),
(1000002875,'2'),
(1000002875,'26'),
(1000002876,'16'),
(1000002876,'17'),
(1000002876,'3'),
(1000002877,'4'),
(1000002877,'5'),
(1000002877,'18'),
(1000002878,'6'),
(1000002879,'7'),
(1000002879,'19'),
(1000002879,'20'),
(1000002880,'27'),
(1000002881,'8'),
(1000002881,'9'),
(1000002881,'21'),
(1000002882,'22'),
(1000002883,'30'),
(1000002884,'10'),
(1000002884,'28'),
(1000002885,'23'),
(1000002885,'11'),
(1000002886,'12'),
(1000002886,'29'),
(1000002886,'13'),
(1000002887,'14'),
(1000002888,'15'),
(1000002888,'24'),
(1000002889,'25'),
(1000002889,'1'),
(1000002890,'2'),
(1000002890,'26'),
(1000002891,'16'),
(1000002892,'17'),
(1000002892,'3'),
(1000002892,'4'),
(1000002893,'5'),
(1000002893,'18'),
(1000002894,'6'),
(1000002894,'7'),
(1000002895,'19'),
(1000002896,'20'),
(1000002896,'27'),
(1000002896,'8'),
(1000002897,'9'),
(1000002898,'21'),
(1000002898,'22'),
(1000002899,'30'),
(1000002900,'10'),
(1000002900,'28'),
(1000002900,'23'),
(1000002901,'11'),
(1000002901,'12'),
(1000002902,'29'),
(1000002902,'13'),
(1000002903,'14'),
(1000002903,'15'),
(1000002904,'24'),
(1000002905,'25'),
(1000002906,'1'),
(1000002906,'2'),
(1000002906,'26'),
(1000002907,'16'),
(1000002908,'17'),
(1000002908,'3'),
(1000002908,'4'),
(1000002909,'5'),
(1000002910,'18'),
(1000002910,'6'),
(1000002910,'7'),
(1000002911,'19'),
(1000002911,'20'),
(1000002912,'27'),
(1000002912,'8'),
(1000002912,'9'),
(1000002913,'21'),
(1000002913,'22'),
(1000002913,'30'),
(1000002914,'10'),
(1000002914,'28'),
(1000002914,'23'),
(1000002915,'11'),
(1000002915,'12'),
(1000002915,'29'),
(1000002916,'13'),
(1000002916,'14'),
(1000002916,'15'),
(1000002917,'24'),
(1000002918,'25'),
(1000002918,'1'),
(1000002919,'2'),
(1000002919,'26'),
(1000002920,'16'),
(1000002921,'17'),
(1000002922,'3'),
(1000002922,'4'),
(1000002923,'5'),
(1000002923,'18'),
(1000002923,'6'),
(1000002924,'7'),
(1000002925,'19'),
(1000002925,'20'),
(1000002925,'27'),
(1000002926,'8'),
(1000002926,'9'),
(1000002926,'21'),
(1000002927,'22'),
(1000002927,'30'),
(1000002928,'10'),
(1000002928,'28'),
(1000002928,'23'),
(1000002929,'11'),
(1000002930,'12'),
(1000002930,'29'),
(1000002931,'13'),
(1000002931,'14'),
(1000002931,'15'),
(1000002932,'24'),
(1000002933,'25'),
(1000002934,'1'),
(1000002934,'2'),
(1000002934,'26'),
(1000002935,'16'),
(1000002935,'17'),
(1000002935,'3'),
(1000002936,'4'),
(1000002936,'5'),
(1000002936,'18'),
(1000002937,'6'),
(1000002938,'7'),
(1000002938,'19'),
(1000002939,'20'),
(1000002939,'27'),
(1000002940,'8'),
(1000002941,'9'),
(1000002941,'21'),
(1000002941,'22'),
(1000002942,'30'),
(1000002943,'10'),
(1000002943,'28'),
(1000002943,'23'),
(1000002944,'11'),
(1000002944,'12'),
(1000002945,'29'),
(1000002945,'13'),
(1000002945,'14'),
(1000002946,'15'),
(1000002947,'24'),
(1000002947,'25'),
(1000002948,'1'),
(1000002948,'2'),
(1000002949,'26'),
(1000002949,'16'),
(1000002949,'17'),
(1000002950,'3'),
(1000002950,'4'),
(1000002950,'5'),
(1000002951,'18'),
(1000002951,'6'),
(1000002951,'7'),
(1000002952,'19'),
(1000002952,'20'),
(1000002953,'27'),
(1000002954,'8'),
(1000002954,'9'),
(1000002955,'21'),
(1000002956,'22'),
(1000002956,'30'),
(1000002956,'10'),
(1000002957,'28'),
(1000002957,'23'),
(1000002958,'11'),
(1000002959,'12'),
(1000002960,'29'),
(1000002961,'13'),
(1000002961,'14'),
(1000002962,'15'),
(1000002962,'24'),
(1000002962,'25'),
(1000002963,'1'),
(1000002963,'2'),
(1000002963,'26'),
(1000002964,'16'),
(1000002964,'17'),
(1000002964,'3'),
(1000002965,'4'),
(1000002966,'5'),
(1000002966,'18'),
(1000002967,'6'),
(1000002967,'7'),
(1000002968,'19'),
(1000002969,'20'),
(1000002969,'27'),
(1000002969,'8'),
(1000002970,'9'),
(1000002971,'21'),
(1000002971,'22'),
(1000002972,'30'),
(1000002972,'10'),
(1000002973,'28'),
(1000002973,'23'),
(1000002973,'11'),
(1000002974,'12'),
(1000002974,'29'),
(1000002974,'13'),
(1000002975,'14'),
(1000002975,'15'),
(1000002975,'24'),
(1000002976,'25'),
(1000002976,'1'),
(1000002976,'2'),
(1000002977,'26'),
(1000002978,'16'),
(1000002978,'17'),
(1000002978,'3'),
(1000002979,'4'),
(1000002979,'5'),
(1000002979,'18'),
(1000002980,'6'),
(1000002981,'7'),
(1000002981,'19'),
(1000002981,'20'),
(1000002982,'27'),
(1000002983,'8'),
(1000002983,'9'),
(1000002983,'21'),
(1000002984,'22'),
(1000002984,'30'),
(1000002985,'10'),
(1000002985,'28'),
(1000002985,'23'),
(1000002986,'11'),
(1000002987,'12'),
(1000002987,'29'),
(1000002988,'13'),
(1000002988,'14'),
(1000002989,'15'),
(1000002990,'24'),
(1000002991,'25'),
(1000002992,'1'),
(1000002993,'2'),
(1000002993,'26'),
(1000002993,'16'),
(1000002994,'17'),
(1000002994,'3'),
(1000002995,'4'),
(1000002995,'5'),
(1000002995,'18'),
(1000002996,'6'),
(1000002997,'7'),
(1000002997,'19'),
(1000002998,'20'),
(1000002998,'27'),
(1000002999,'8'),
(1000003000,'9'),
(1000003000,'21'),
(1000003001,'22'),
(1000003002,'30'),
(1000003002,'10'),
(1000003002,'28'),
(1000003003,'23'),
(1000003003,'11'),
(1000003004,'12'),
(1000003004,'29'),
(1000003004,'13'),
(1000003005,'14'),
(1000003005,'15'),
(1000003005,'24'),
(1000003006,'25'),
(1000003007,'1'),
(1000003008,'2'),
(1000003009,'26'),
(1000003010,'16'),
(1000003010,'17'),
(1000003011,'3'),
(1000003011,'4'),
(1000003011,'5'),
(1000003012,'18'),
(1000003012,'6'),
(1000003012,'7'),
(1000003013,'19'),
(1000003013,'20'),
(1000003013,'27'),
(1000003014,'8'),
(1000003014,'9'),
(1000003014,'21'),
(1000003015,'22'),
(1000003016,'30'),
(1000003016,'10'),
(1000003017,'28'),
(1000003017,'23'),
(1000003017,'11'),
(1000003018,'12'),
(1000003018,'29'),
(1000003018,'13'),
(1000003019,'14'),
(1000003020,'15'),
(1000003020,'24'),
(1000003020,'25'),
(1000003021,'1'),
(1000003021,'2'),
(1000003021,'26'),
(1000003022,'16'),
(1000003022,'17'),
(1000003022,'3'),
(1000003023,'4'),
(1000003023,'5'),
(1000003023,'18'),
(1000003024,'6'),
(1000003024,'7'),
(1000003024,'19'),
(1000003025,'20'),
(1000003025,'27'),
(1000003026,'8'),
(1000003026,'9'),
(1000003026,'21'),
(1000003027,'22'),
(1000003028,'30'),
(1000003028,'10'),
(1000003029,'28'),
(1000003029,'23'),
(1000003029,'11'),
(1000003030,'12'),
(1000003031,'29'),
(1000003031,'13'),
(1000003032,'14'),
(1000003032,'15'),
(1000003032,'24'),
(1000003033,'25'),
(1000003034,'1'),
(1000003034,'2'),
(1000003034,'26'),
(1000003035,'16'),
(1000003035,'17'),
(1000003036,'3'),
(1000003036,'4'),
(1000003037,'5'),
(1000003038,'18'),
(1000003038,'6'),
(1000003039,'7'),
(1000003040,'19'),
(1000003041,'20'),
(1000003041,'27'),
(1000003042,'8'),
(1000003043,'9'),
(1000003043,'21'),
(1000003043,'22'),
(1000003044,'30'),
(1000003045,'10'),
(1000003046,'28'),
(1000003046,'23'),
(1000003047,'11'),
(1000003047,'12'),
(1000003048,'29'),
(1000003048,'13'),
(1000003049,'14'),
(1000003050,'15'),
(1000003050,'24'),
(1000003051,'25'),
(1000003051,'1'),
(1000003052,'2'),
(1000003052,'26'),
(1000003053,'16'),
(1000003053,'17'),
(1000003054,'3'),
(1000003054,'4'),
(1000003054,'5'),
(1000003055,'18'),
(1000003056,'6'),
(1000003056,'7'),
(1000003057,'19'),
(1000003057,'20'),
(1000003058,'27'),
(1000003058,'8'),
(1000003058,'9'),
(1000003059,'21'),
(1000003059,'22'),
(1000003059,'30'),
(1000003060,'10'),
(1000003060,'28'),
(1000003061,'23'),
(1000003061,'11'),
(1000003062,'12'),
(1000003063,'29'),
(1000003063,'13'),
(1000003064,'14'),
(1000003064,'15'),
(1000003064,'24'),
(1000003065,'25'),
(1000003065,'1'),
(1000003066,'2'),
(1000003066,'26'),
(1000003066,'16'),
(1000003067,'17'),
(1000003067,'3'),
(1000003068,'4'),
(1000003069,'5'),
(1000003069,'18'),
(1000003069,'6'),
(1000003070,'7'),
(1000003070,'19'),
(1000003071,'20'),
(1000003071,'27'),
(1000003072,'8'),
(1000003073,'9'),
(1000003073,'21'),
(1000003073,'22'),
(1000003074,'30'),
(1000003075,'10'),
(1000003076,'28'),
(1000003076,'23'),
(1000003077,'11'),
(1000003077,'12'),
(1000003077,'29'),
(1000003078,'13'),
(1000003078,'14'),
(1000003079,'15'),
(1000003080,'24'),
(1000003080,'25'),
(1000003081,'1'),
(1000003082,'2'),
(1000003082,'26'),
(1000003083,'16'),
(1000003083,'17'),
(1000003084,'3'),
(1000003085,'4'),
(1000003085,'5'),
(1000003085,'18'),
(1000003086,'6'),
(1000003086,'7'),
(1000003087,'19'),
(1000003087,'20'),
(1000003088,'27'),
(1000003089,'8'),
(1000003090,'9'),
(1000003090,'21'),
(1000003091,'22'),
(1000003092,'30'),
(1000003093,'10'),
(1000003093,'28'),
(1000003094,'23'),
(1000003094,'11'),
(1000003095,'12'),
(1000003095,'29'),
(1000003095,'13'),
(1000003096,'14'),
(1000003096,'15'),
(1000003096,'24'),
(1000003097,'25'),
(1000003097,'1'),
(1000003098,'2'),
(1000003098,'26'),
(1000003099,'16'),
(1000003099,'17'),
(1000003099,'3'),
(1000003100,'4'),
(1000003100,'5'),
(1000003100,'18'),
(1000003101,'6'),
(1000003101,'7'),
(1000003102,'19'),
(1000003103,'20'),
(1000003104,'27'),
(1000003104,'8'),
(1000003105,'9'),
(1000003105,'21'),
(1000003105,'22'),
(1000003106,'30'),
(1000003106,'10'),
(1000003106,'28'),
(1000003107,'23'),
(1000003108,'11'),
(1000003108,'12'),
(1000003108,'29'),
(1000003109,'13'),
(1000003109,'14'),
(1000003109,'15'),
(1000003110,'24'),
(1000003110,'25'),
(1000003111,'1'),
(1000003111,'2'),
(1000003111,'26'),
(1000003112,'16'),
(1000003112,'17'),
(1000003113,'3'),
(1000003113,'4'),
(1000003113,'5'),
(1000003114,'18'),
(1000003114,'6'),
(1000003114,'7'),
(1000003115,'19'),
(1000003115,'20'),
(1000003115,'27'),
(1000003116,'8'),
(1000003116,'9'),
(1000003117,'21'),
(1000003117,'22'),
(1000003117,'30'),
(1000003118,'10'),
(1000003118,'28'),
(1000003119,'23'),
(1000003120,'11'),
(1000003120,'12'),
(1000003121,'29'),
(1000003121,'13'),
(1000003122,'14'),
(1000003123,'15'),
(1000003124,'24'),
(1000003124,'25'),
(1000003125,'1'),
(1000003125,'2'),
(1000003125,'26'),
(1000003126,'16'),
(1000003127,'17'),
(1000003128,'3'),
(1000003128,'4'),
(1000003129,'5'),
(1000003129,'18'),
(1000003130,'6'),
(1000003130,'7'),
(1000003131,'19'),
(1000003132,'20'),
(1000003133,'27'),
(1000003134,'8'),
(1000003135,'9'),
(1000003135,'21'),
(1000003136,'22'),
(1000003137,'30'),
(1000003137,'10'),
(1000003137,'28'),
(1000003138,'23'),
(1000003138,'11'),
(1000003138,'12'),
(1000003139,'29'),
(1000003139,'13'),
(1000003140,'14'),
(1000003140,'15'),
(1000003140,'24'),
(1000003141,'25'),
(1000003142,'1'),
(1000003142,'2'),
(1000003143,'26'),
(1000003143,'16'),
(1000003143,'17'),
(1000003144,'3'),
(1000003145,'4'),
(1000003146,'5'),
(1000003146,'18'),
(1000003146,'6'),
(1000003147,'7'),
(1000003147,'19'),
(1000003147,'20'),
(1000003148,'27'),
(1000003149,'8'),
(1000003150,'9'),
(1000003150,'21'),
(1000003150,'22'),
(1000003151,'30'),
(1000003151,'10'),
(1000003152,'28'),
(1000003152,'23'),
(1000003152,'11'),
(1000003153,'12'),
(1000003153,'29'),
(1000003154,'13'),
(1000003154,'14'),
(1000003155,'15'),
(1000003155,'24'),
(1000003155,'25'),
(1000003156,'1'),
(1000003157,'2'),
(1000003157,'26'),
(1000003158,'16'),
(1000003159,'17'),
(1000003159,'3'),
(1000003160,'4'),
(1000003161,'5'),
(1000003162,'18'),
(1000003162,'6'),
(1000003162,'7'),
(1000003163,'19'),
(1000003163,'20'),
(1000003163,'27'),
(1000003164,'8'),
(1000003165,'9'),
(1000003165,'21'),
(1000003166,'22'),
(1000003166,'30'),
(1000003167,'10'),
(1000003167,'28'),
(1000003168,'23'),
(1000003168,'11'),
(1000003169,'12'),
(1000003169,'29'),
(1000003169,'13'),
(1000003170,'14'),
(1000003170,'15'),
(1000003170,'24'),
(1000003171,'25'),
(1000003172,'1'),
(1000003172,'2'),
(1000003172,'26'),
(1000003173,'16'),
(1000003173,'17'),
(1000003174,'3'),
(1000003175,'4'),
(1000003175,'5'),
(1000003176,'18'),
(1000003176,'6'),
(1000003177,'7'),
(1000003177,'19'),
(1000003178,'20'),
(1000003178,'27'),
(1000003179,'8'),
(1000003179,'9'),
(1000003179,'21'),
(1000003180,'22'),
(1000003180,'30'),
(1000003180,'10'),
(1000003181,'28'),
(1000003181,'23'),
(1000003181,'11'),
(1000003182,'12'),
(1000003182,'29'),
(1000003183,'13'),
(1000003183,'14'),
(1000003184,'15'),
(1000003184,'24'),
(1000003185,'25'),
(1000003185,'1'),
(1000003186,'2'),
(1000003186,'26'),
(1000003187,'16'),
(1000003188,'17'),
(1000003188,'3'),
(1000003189,'4'),
(1000003189,'5'),
(1000003190,'18'),
(1000003191,'6'),
(1000003192,'7'),
(1000003193,'19'),
(1000003193,'20'),
(1000003193,'27'),
(1000003194,'8'),
(1000003194,'9'),
(1000003195,'21'),
(1000003196,'22'),
(1000003197,'30'),
(1000003197,'10'),
(1000003197,'28'),
(1000003198,'23'),
(1000003198,'11'),
(1000003199,'12'),
(1000003199,'29'),
(1000003200,'13'),
(1000003200,'14'),
(1000003201,'15'),
(1000003201,'24'),
(1000003201,'25'),
(1000003202,'1'),
(1000003203,'2'),
(1000003204,'26'),
(1000003204,'16'),
(1000003205,'17'),
(1000003206,'3'),
(1000003206,'4'),
(1000003206,'5'),
(1000003207,'18'),
(1000003207,'6'),
(1000003208,'7'),
(1000003208,'19'),
(1000003208,'20'),
(1000003209,'27'),
(1000003210,'8'),
(1000003210,'9'),
(1000003210,'21'),
(1000003211,'22'),
(1000003212,'30'),
(1000003213,'10'),
(1000003213,'28'),
(1000003214,'23'),
(1000003215,'11'),
(1000003216,'12'),
(1000003216,'29'),
(1000003217,'13'),
(1000003217,'14'),
(1000003218,'15'),
(1000003218,'24'),
(1000003219,'25'),
(1000003219,'1'),
(1000003219,'2'),
(1000003220,'26'),
(1000003221,'16'),
(1000003221,'17'),
(1000003222,'3'),
(1000003222,'4'),
(1000003223,'5'),
(1000003223,'18'),
(1000003224,'6'),
(1000003224,'7'),
(1000003225,'19'),
(1000003225,'20'),
(1000003225,'27'),
(1000003226,'8'),
(1000003226,'9'),
(1000003226,'21'),
(1000003227,'22'),
(1000003227,'30'),
(1000003228,'10'),
(1000003228,'28'),
(1000003228,'23'),
(1000003229,'11'),
(1000003230,'12'),
(1000003231,'29'),
(1000003231,'13'),
(1000003231,'14'),
(1000003232,'15'),
(1000003232,'24'),
(1000003233,'25'),
(1000003234,'1'),
(1000003234,'2'),
(1000003235,'26'),
(1000003235,'16'),
(1000003235,'17'),
(1000003236,'3'),
(1000003237,'4'),
(1000003238,'5'),
(1000003238,'18'),
(1000003238,'6'),
(1000003239,'7'),
(1000003239,'19'),
